month,calls_per_day
1,201.49462365591398
2,214.11904761904762
3,204.08602150537635
4,188.0111111111111
5,170.45161290322582
6,188.6833333333333
7,182.09139784946237
8,183.78494623655914
9,174.66111111111113
10,168.32795698924733
11,183.57777777777778
12,173.95161290322582
