category,corr_temp,corr_precip,beta_temp_per_10F,p_temp,beta_precip_per_in,p_precip,adj_r2
graffiti,-0.245,0.186,-8.33,0.3835,1.73,0.2662,0.428
noise,0.565,-0.438,9.25,0.0,0.05,0.8077,0.738
